time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
2022/07/12/22:54:15.594944,980,1537392896,423032,/world,0.089626967907,0.0204863362014,-1.26333701611,0.000183379523951,-7.23549322046e-05,-0.0183155359495,0.999832251009,"(1.0712212770158658e-06, 7.139878732687066e-08, 3.941035497945222e-09, 5.565514697991603e-07, 1.682179004092177e-06, 4.118749075132655e-07, 7.130110901698572e-08, 1.2540958778117783e-06, 3.4863848696886635e-08, -1.7064118082998903e-06, 1.1892233260368812e-06, 2.0833309122281207e-07, 4.095613181931412e-09, 3.534466230803446e-08, 8.516469165442686e-07, 1.0293791774529382e-07, 1.658523842706927e-07, -1.0702627406544707e-07, 5.587775717685872e-07, -1.7144750472652959e-06, 1.0033993191882473e-07, 0.00014467333676293492, 8.15175189927686e-06, -2.8619938348128926e-06, 1.6976614460872952e-06, 1.1897793683601776e-06, 1.6712344574898452e-07, 8.157363481586799e-06, 0.00012009105557808653, 1.2745313142659143e-06, 4.0572106740910385e-07, 2.0680869283751235e-07, -1.0800109606634578e-07, -2.86613499156374e-06, 1.2301337619646802e-06, 0.000130399945192039)"
2022/07/12/22:54:15.642727,981,1537392896,33596032,/world,0.0895657092333,0.0205017644912,-1.26246273518,-4.98120120524e-05,-0.00561756418625,-0.0178407588325,0.999825074871,"(1.071286533260718e-06, 7.021537129503486e-08, 1.6163145266645529e-09, 5.457467864289356e-07, 1.7590582501725294e-06, 3.9262158679775894e-07, 7.004201307836411e-08, 1.2510502074292162e-06, 2.750845418120207e-08, -1.7272542436330696e-06, 1.1606927046159399e-06, 2.3049111064210592e-07, 1.7544409258718474e-09, 2.8119870876253117e-08, 8.52236439641274e-07, 1.2556417061659886e-07, -5.224915611279357e-08, -1.204343078597958e-07, 5.447740818453894e-07, -1.7356504713461618e-06, 1.2233294910402037e-07, 0.00014469237066805363, 8.127653927658685e-06, -2.88645196633297e-06, 1.7738608448780724e-06, 1.1589139603529475e-06, -5.134194935862979e-08, 8.128463377943262e-06, 0.00012013185914838687, 1.2680181953328429e-06, 3.861858033360477e-07, 2.2877230776430224e-07, -1.2098254842385359e-07, -2.8803233362850733e-06, 1.2317460686972481e-06, 0.00013033200229983777)"
2022/07/12/22:54:15.664524,982,1537392896,66769032,/world,0.0895986929536,0.0204273276031,-1.26198470592,-0.000346701677544,-0.0099859349551,-0.0173299903134,0.999799902089,"(1.107139951272984e-06, 6.849793976471119e-08, -3.6992078289443953e-09, 5.44860029094707e-07, 1.9193405478290515e-06, 3.396243073439109e-07, 6.846408240335222e-08, 1.2586982620632625e-06, 1.2303381424771942e-08, -1.778454475243052e-06, 1.1420216878832434e-06, 2.8852088007624843e-07, -3.377603530196893e-09, 1.259814830234518e-08, 8.627777674519166e-07, 1.803265519129127e-07, -5.621297987090657e-07, -1.530862476784023e-07, 5.415375881057116e-07, -1.7876996025734115e-06, 1.784715522035185e-07, 0.00014463903789874166, 8.081085979938507e-06, -2.9037973945378326e-06, 1.931452061398886e-06, 1.1401398296584375e-06, -5.597984227279085e-07, 8.077028724073898e-06, 0.00012015148240607232, 1.250958007403824e-06, 3.387056608517014e-07, 2.84391092009173e-07, -1.5441719369846396e-07, -2.88172464024683e-06, 1.2455376463549328e-06, 0.00013009659596718848)"
2022/07/12/22:54:15.688442,983,1537392896,99940032,/world,0.0897219330072,0.0202461164445,-1.26164019108,-0.00115368770984,-0.0116843973268,-0.016842690394,0.999789208309,"(1.1483418802527012e-06, 6.6749024085766e-08, -7.617364516931957e-09, 5.351770937522815e-07, 2.0293343823141186e-06, 3.06484736256607e-07, 6.662495621867492e-08, 1.26825136703701e-06, 5.069694442028094e-09, -1.8169977238358115e-06, 1.10854728063714e-06, 3.2923571779974736e-07, -7.492952036614042e-09, 5.253227630674928e-09, 8.75794739840785e-07, 1.9350004265561438e-07, -8.787990850578353e-07, -1.6971861782622e-07, 5.31149453308899e-07, -1.8255695977131836e-06, 1.9257932137861644e-07, 0.00014461480895988643, 8.030720891838428e-06, -2.9446143798850244e-06, 2.0410309389262693e-06, 1.1069714673794806e-06, -8.764906169744791e-07, 8.021720532269683e-06, 0.00012020881695207208, 1.2459576055334765e-06, 3.0775873938182485e-07, 3.2551810136283166e-07, -1.7056618162314408e-07, -2.924796262959717e-06, 1.2476439223974012e-06, 0.00012982085172552615)"
2022/07/12/22:54:15.709383,984,1537392896,133117032,/world,0.0900631994009,0.0201792847365,-1.26163005829,-0.00256362937436,-0.0123426513606,-0.0163180464482,0.999787404887,"(1.1720012480509467e-06, 6.16372020090239e-08, -1.0026044883204577e-08, 5.200178065933869e-07, 2.096650632665842e-06, 2.9479798513420974e-07, 6.143656605672732e-08, 1.2734491292576422e-06, 3.845888496556427e-09, -1.836284582168446e-06, 1.0564742751739686e-06, 3.460165771684842e-07, -1.0070685618757125e-08, 4.2704466629572835e-09, 8.841697649586422e-07, 1.552406132532269e-07, -1.0139909818462911e-06, -1.7785751538212935e-07, 5.158018439033185e-07, -1.844146709117922e-06, 1.5409371201258182e-07, 0.00014459028898272663, 8.00599627837073e-06, -2.997973979290691e-06, 2.110539981003967e-06, 1.0560946748228162e-06, -1.0105188721354352e-06, 7.987657227204181e-06, 0.0001203216816065833, 1.2283619525987888e-06, 2.927600917246309e-07, 3.4304599694223725e-07, -1.7868678980903496e-07, -2.9764448754576733e-06, 1.2109990166209172e-06, 0.00012983741180505604)"
2022/07/12/22:54:15.737347,985,1537392896,166290032,/world,0.0910294428468,0.0200085248798,-1.26164007187,-0.00506396787311,-0.0120136136849,-0.0156088810453,0.999793172846,"(1.179543914986425e-06, 5.346387155213961e-08, -1.1667164123707607e-08, 5.017927833250724e-07, 2.1320395262591774e-06, 3.019511609636538e-07, 5.320796958585561e-08, 1.2759544461005135e-06, 6.092738757956795e-09, -1.8393777736491757e-06, 9.919566537064384e-07, 3.50969116880151e-07, -1.169754515473187e-08, 6.532665519642933e-09, 8.883683335625392e-07, 7.370725541022694e-08, -1.036491653394478e-06, -1.8036296012269304e-07, 4.974125431544962e-07, -1.8494201867724769e-06, 7.355239972639538e-08, 0.00014453538460657, 7.998066394065972e-06, -3.05315575133136e-06, 2.149553438357543e-06, 9.918285286403261e-07, -1.032370619213907e-06, 7.977209861564916e-06, 0.00012043496826663613, 1.2341446335994988e-06, 2.969901515825768e-07, 3.487048729766684e-07, -1.8158971215598285e-07, -3.035514509974746e-06, 1.1976370615229825e-06, 0.0001299255818594247)"
2022/07/12/22:54:15.763637,986,1537392896,199461032,/world,0.092328839004,0.0200003422797,-1.26198577881,-0.00841340519878,-0.0112046525468,-0.0150240483398,0.999788954936,"(1.1752966884159832e-06, 4.3301071173118544e-08, -1.24611361229654e-08, 4.78498861866683e-07, 2.1390751498984173e-06, 3.2505806757399114e-07, 4.29615347741219e-08, 1.2781180203091935e-06, 1.0445926790225712e-08, -1.8224750419904012e-06, 9.133398179983487e-07, 3.5312831414557877e-07, -1.2570055218930065e-08, 1.1080429906940026e-08, 8.916618412513344e-07, -4.850486590157743e-08, -9.72396151155408e-07, -1.8207704499673127e-07, 4.748134188048425e-07, -1.834615090956504e-06, -4.797010433321702e-08, 0.00014438919606618583, 8.005152267287485e-06, -3.1405641038873e-06, 2.1601986190944444e-06, 9.139704957306094e-07, -9.676400622993242e-07, 7.9842811828712e-06, 0.00012050552322762087, 1.2593994824783294e-06, 3.182529724199412e-07, 3.5142460319548263e-07, -1.8289080117028789e-07, -3.12797283186228e-06, 1.2113357570342487e-06, 0.00012996848090551794)"
2022/07/12/22:54:15.780644,987,1537392896,232633032,/world,0.0934892445803,0.0199868641794,-1.26194930077,-0.0113421117657,-0.010448896572,-0.014617587659,0.999774251729,"(1.1715701475623064e-06, 3.165202855370808e-08, -1.2814574290587188e-08, 4.5397160874927067e-07, 2.1354160253395094e-06, 3.586068260119646e-07, 3.111566471147853e-08, 1.2883100453109364e-06, 1.5485616344790287e-08, -1.8001331909545115e-06, 8.261928883257497e-07, 3.5104753237646946e-07, -1.2943868199499775e-08, 1.6040072381429127e-08, 9.004896242004179e-07, -2.0919563326060597e-07, -8.605189236732258e-07, -1.806897245160144e-07, 4.5166672180130263e-07, -1.8126914937965921e-06, -2.069688633810074e-07, 0.00014418514911085367, 8.020901077543385e-06, -3.2155382996279513e-06, 2.1588930394500494e-06, 8.258596722043876e-07, -8.562271318623971e-07, 8.008109944057651e-06, 0.00012055687693646178, 1.3214546470408095e-06, 3.5106333484691277e-07, 3.511216846163734e-07, -1.8132008960947132e-07, -3.218221536371857e-06, 1.264399088540813e-06, 0.00013006551307626069)"
2022/07/12/22:54:15.806840,988,1537392896,265805032,/world,0.095406241715,0.0196330435574,-1.26191043854,-0.0156042745428,-0.00922915209879,-0.0141160994484,0.999736005984,"(1.1726302773240604e-06, 2.0286300639327237e-08, -1.2644632008118606e-08, 4.251571397162479e-07, 2.1259656932670623e-06, 3.979828022693255e-07, 1.9659989192177818e-08, 1.3098981526127318e-06, 2.0744062467770163e-08, -1.7698753254080657e-06, 7.330407925110194e-07, 3.4440844842720253e-07, -1.271078620135313e-08, 2.1490762946996256e-08, 9.166369068225322e-07, -4.08750167935068e-07, -7.199299147941929e-07, -1.8415983049635543e-07, 4.253815006904915e-07, -1.7813312069847598e-06, -4.0552419022787944e-07, 0.00014383021334651858, 8.00415455159964e-06, -3.291999291832326e-06, 2.1494802240340505e-06, 7.329197160288459e-07, -7.141681521716237e-07, 8.00757607066771e-06, 0.00012054938270011917, 1.3957595683677937e-06, 3.915775721452519e-07, 3.443891785082087e-07, -1.8411127200579358e-07, -3.3000976600305876e-06, 1.339881805506593e-06, 0.0001301243610214442)"
2022/07/12/22:54:15.828547,989,1537392896,299000032,/world,0.0971131101251,0.01902028732,-1.26158714294,-0.0197366452292,-0.00811507837954,-0.013690736235,0.999678537735,"(1.1804804671555758e-06, 1.0168216491024396e-08, -1.177393027518292e-08, 3.931423293579428e-07, 2.118946895279805e-06, 4.419633796715061e-07, 9.722850968785224e-09, 1.3465722759065102e-06, 2.6620710968927597e-08, -1.7386522586093633e-06, 6.270485641834966e-07, 3.3660793974377157e-07, -1.1758276130535705e-08, 2.7348225017931327e-08, 9.434794492335641e-07, -6.428268193303666e-07, -5.495209620676178e-07, -1.8147974856219662e-07, 3.941030399801093e-07, -1.7499787645647302e-06, -6.358134214679012e-07, 0.00014332460705190897, 7.961634764797054e-06, -3.337602038300247e-06, 2.1410717181424843e-06, 6.278015121097269e-07, -5.424275286713964e-07, 7.982595889188815e-06, 0.00012054049147991464, 1.497891162216547e-06, 4.3380717329455365e-07, 3.3595506465644576e-07, -1.8224366726826702e-07, -3.3526391689520096e-06, 1.4231411569198826e-06, 0.00013016679440625012)"
